ID;Name;TableName;StorageType
1;Object;CO6_Data_Object;1
2;Long;CO6_Data_Long;2
3;String;CO6_Data_String;2
5;DateTime;CO6_Data_DateTime;2
6;Decimal_6_3;CO6_Data_Decimal_6_3;2
12;Medic_Pressure;CO6_Medic_Pressure;2
13;DrugApplication;CO6_Medic_Data_DrugApplication;1
14;Drug;CO6_Medic_Data_Drug;2
15;Link;CO6_Data_Link;2
16;DrugMixture;CO6_Medic_Data_DrugMixture;1
17;FixedDateTime;CO6_Data_DateTime;2
18;LaborValue;CO6_Medic_Data_Labor;2
19;BarValue;CO6_Data_BarValue;2
20;RespirationBarValue;CO6_Data_BarValue;2
21;GroupedParameterObject;CO6_Data_GroupedParameterObject;1
22;DrugApplicationObject;CO6_Medic_Data_DrugApplication;1
23;StaffMemberObject;CO6_Admin_User_Properties;1
24;DrugOrder;CO6_Medic_Data_DrugApplication;1
25;GroupedParameterPropertyObject;CO6_Data_GroupedParameterPropertyObject;1
26;ApparatusBar;CO6_Medic_Data_ApparatusBar;2
27;SubScore;CO6_Medic_Data_SubScore;2
28;OrganisationalUnitObject;CO6_Admin_OrganisationalUnit_Properties;1
29;StringOrder;CO6_Data_String_Order;2
30;Decimal_6_3Order;CO6_Data_Decimal_6_3_Order;2
31;StringProcedure;CO6_Data_String_Order;2
32;Decimal_6_3Procedure;CO6_Data_Decimal_6_3_Order;2
33;Picture;CO6_Data_Binary;2
34;ListValue;CO6_Data_ReferencedValue;2
35;DrugOrderV2;CO6_Medic_Data_DrugOrderV2;1
36;SingleDrugOrder;CO6_Medic_Data_SingleDrugOrder;2
37;TransientObject;CO6_Data_Object;1
38;TemporalAssignment;CO6_Data_TemporalAssignment;2
39;DurationString;CO6_Data_DurationString;2
41;CareDiagnosisObject;CO6_Medic_Data_Care_Diagnosis;1
42;CareAimObject;CO6_Medic_Data_Care_Aims;1
43;CareInterventionObject;CO6_Medic_Data_Care_Interventions;1
44;CareTextObject;CO6_Medic_Data_Care_Texts;1
45;CareExecutionValue;CO6_Medic_Data_Care_Executions;2
46;CareEvaluationValue;CO6_Medic_Data_Care_Evaluations;2
47;CareLinkValue;CO6_Medic_Data_Care_Links;1
48;CareInterventionBreakValue;CO6_Medic_Data_Care_InterventionBreaks;2
50;LEPEventData;CO6_LEP_Data_Value;2
51;LEPInformationData;CO6_LEP_Data_Value;2
52;LEPTimeLineData;CO6_LEP_Data_Value;2
53;MergeSourceLink;CO6_Data_Link;2
54;MergeTargetLink;CO6_Data_Link;2
55;PdfValue;CO6_Data_Binary;2
