Arterieller Druck;Observation;Active;18/3/2022
Atemfrequenz;Observation;Active;29/4/2022
Atemwegsdruck Mittlerem Expiratorischem Gasfluss;Observation;Active;16/3/2022
Atemwegsdruck Null Expiratorischem Gasfluss;Observation;Active;16/3/2022
Atemzugvolumen Einstellung;Observation;Active;16/3/2022
Atemzugvolumen Waehrend Beatmung;Observation;Active;16/3/2022
Beatmung;Procedure;Active;18/5/2022
Beatmungsvolumen Pro Minute Maschineller Beatmung;Observation;Active;7/4/2022
Beatmungszeit Hohem Druck;Observation;Active;16/3/2022
Beatmungszeit Niedrigem Druck;Observation;Active;21/3/2022
Blutdruck;Observation;Active;8/4/2022
Blutdruck Generisch;Observation;Active;29/4/2022
Blutfluss Cardiovasculaeres Geraet;Observation;Active;6/4/2022
Blutfluss Extrakorporaler Gasaustausch;Observation;Active;22/3/2022
Blutflussindex Extrakorporaler Gasaustausch;Observation;Active;22/3/2022
Dauer Extrakorporaler Gasaustausch;Observation;Active;22/3/2022
Dauer Haemodialysesitzung;Observation;Active;21/3/2022
DeviceMetric Eingestellte Gemessene Parameter Beatmung;DeviceeMetric;Active;21/3/2022
DeviceMetric Eingestellte Gemessene Parameter Extrakorporale Verfahren;DeviceeMetric;Active;25/4/2022
Druckdifferenz Beatmung;Observation;Active;16/3/2022
Dynamische Kompliance;Observation;Active;16/3/2022
Eingestellter Inspiratorischer Gasfluss;Observation;Active;16/3/2022
Einstellung Ausatmungszeit Beatmung;Observation;Active;7/4/2022
Einstellung Einatmungszeit Beatmung;Observation;Active;7/4/2022
Endexpiratorischer Kohlendioxidpartialdruck;Observation;Active;6/4/2022
Exspiratorischer Gasfluss;Observation;Active;16/3/2022
Exspiratorischer Sauerstoffpartialdruck;Observation;Active;6/4/2022
Extrakorporales Verfahren;Procedure;Active;22/4/2022
Haemodialyse Blutfluss;Observation;Active;8/4/2022
Herzfrequenz;Observation;Active;29/4/2022
Herzzeitvolumen;Observation;Active;8/4/2022
Horowitz In Arteriellem Blut;Observation;Active;16/3/2022
ICU Device;Devicee;Active;16/3/2022
Ideales Koerpergewicht;Observation;Active;16/3/2022
Inspiratorisch Sauerstofffraktion Eingestellt;Observation;Active;25/4/2022
Inspiratorische Sauerstofffraktion;Observation;Active;19/4/2022
Inspiratorischer Gasfluss;Observation;Active;16/3/2022
Intrakranieller Druck;Observation;Active;16/3/2022
Ionisiertes Kalzium Nierenersatzverfahren;Observation;Active;21/3/2022
Koerpergewicht;Observation;Active;29/4/2022
Koerpergewicht Percentil Altersabhaengig;Observation;Active;19/4/2022
Koerpergroesse;Observation;Active;29/4/2022
Koerpergroesse Percentil;Observation;Active;22/4/2022
Koerpertemperatur Achsel;Observation;Active;20/5/2022
Koerpertemperatur Atemwege;Observation;Active;20/5/2022
Koerpertemperatur Blut;Observation;Active;20/5/2022
Koerpertemperatur Brust;Observation;Active;20/5/2022
Koerpertemperatur Brustwirbelsaeule;Observation;Active;20/5/2022
Koerpertemperatur Gelenk;Observation;Active;20/5/2022
Koerpertemperatur Halswirbelsaeule;Observation;Active;20/5/2022
Koerpertemperatur Harnblase;Observation;Active;20/5/2022
Koerpertemperatur Kern;Observation;Active;29/4/2022
Koerpertemperatur Leiste;Observation;Active;20/5/2022
Koerpertemperatur Lendenwirbelsaeule;Observation;Active;20/5/2022
Koerpertemperatur Myokard;Observation;Active;20/5/2022
Koerpertemperatur nasal;Observation;Active;20/5/2022
Koerpertemperatur Nasen Rachen Raum;Observation;Active;20/5/2022
Koerpertemperatur rektal;Observation;Active;20/5/2022
Koerpertemperatur Speiseroehre;Observation;Active;20/5/2022
Koerpertemperatur Stirn;Observation;Active;20/5/2022
Koerpertemperatur Trommelfell;Observation;Active;20/5/2022
Koerpertemperatur unter der Zunge;Observation;Active;20/5/2022
Koerpertemperatur vaginal;Observation;Active;20/5/2022
Kopfumfang;Observation;Active;29/4/2022
Linksatrialer Druck;Observation;Active;8/4/2022
Linksventrikulaerer Druck;Observation;Active;16/3/2022
Linksventrikulaerer Herzindex;Observation;Active;6/4/2022
Linksventrikulaerer Herzindex Durch Indikatorverduennung;Observation;Active;8/4/2022
Linksventrikulaerer Schlagvolumenindex Durch Indikatorverduennung;Observation;Active;8/4/2022
Linksventrikulaeres Herzzeitvolumen Durch Indikatorverduennung;Observation;Active;8/4/2022
