"quantity_in_decimal";"conf_var_name";"conf_var_id"
25851846;HF;1266
22647295;SpO2;102010
20846232;Beatmung_MS_G5_fspontan;103036
11360118;AF;1267
9577905;Beatmung_MS_G5_ftotal;103035
3579740;ZVD;1269
2686525;Beatmung_MS_G5_InspFlow;102903
1680225;ICP;100088
986335;dPmax;102039
869963;p-SVI;102036
864963;p-SV;102408
778804;p-SVRI;102038
758879;P_Temperatur_Kern;110933
734325;Beatmung_MS_G5_ExspFlow;102915
303169;NEV_CRRT_ES_Multi_CalciumFiltrat;104974
274423;Schlagvolumen;104758
125230;SVRI;100073
111043;Beatmung_Messung_Pmax;100300
108942;Beatmung_Messung_PEEP;100275
108930;Beatmung_Messung_AF;101442
108636;Beatmung_Messung_MV;100098
97841;Nierenverfahren_MS_Multi_venDruck;103011
97677;Nierenverfahren_MS_Multi_artDruck;103010
96050;Patient_Gewicht;6
79120;Patient_Groesse;7
70600;Beatmung_ES_G5_Ti;102887
59723;Beatmung_Messung_AFSpontan;100270
37642;PVPI;102047
34154;Beatmung_ES_Evita4_O2Konzentration;103296
29967;Beatmung_Einstellung_FiO2;100105
28887;Beatmung_Einstellung_PEEP;100102
24916;VigilanceC_HZV;102184
19281;Nierenverfahren_ES_Multi_CalciumFiltrat;103058
14127;PVRI;102026
13393;Beatmung_ES_Evita4_Tinsp;103297
12533;NEV_HD_MS_4008HS_effBlutfluss;104872
12360;Beatmung_Messung_FiO2;100100
10295;Beatmung_MS_Pallas_O2_insp;104730
9989;Beatmung_Messung_IntrinsicPEEP;101444
8502;CardioHelpMaquet_MS_Blutfluss;106332
7997;NEV_HD_ES_4008HS_Blutfluss;104888
7092;Beatmung_MS_Evita4_fspn;103324
7040;Beatmung_MS_VisionA_Amplitude;103078
6945;Beatmung_MS_VisionA_MAP;102878
5819;Beatmung_ES_Heimbeatmung_Peep;103943
5523;Nierenverfahren_MS_4008HS_effBlutfluss;103169
5250;Beatmung_Einstellung_AF;100108
4361;Nierenverfahren_ES_Multi_Substituat;102978
4161;Vigileo_SVI;102179
3863;Beatmung_ES_VisionA_MAP;102873
3794;Nierenverfahren_ES_4008HS_Blutfluss;103152
3739;Beatmung_MS_Evita4_MV;103320
3733;Nierenverfahren_VO_4008HS_Dialysezeit;103254
3718;Beatmung_MS_3100B_O2Konzentration;103216
